Iterações do Simplex
================================================================================
=== Iteracao: 0 ===
             VB        x1        x2        x3        x4        x5        x6        x7        x8        x9       x10       x11        w1        w2        w3        w4        w5        w6        w7        w8        w9       w10       w11       w12       w13       w14       w15       w16       w17       w18       w19       w20       w21       w22       w23       w24       w25       w26       w27       w28       w29        a1        a2         b
             a1      6.00     -2.00     -6.00      7.00      0.00      2.00      2.00      5.00     -5.00      5.00     10.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      5.00
             w1      0.00     -9.00    -10.00      9.00      3.00      3.00      4.00      6.00     -6.00      6.00      8.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     60.00
             w2      1.00     -4.00     -1.00      8.00      6.00      0.00      6.00      8.00     -8.00      4.00      4.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     33.00
             w3      3.00     -5.00     -3.00      2.00     10.00      4.00      0.00      1.00     -1.00      7.00      7.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     57.00
             w4      7.00     -2.00     -3.00      2.00      9.00     10.00      6.00      6.00     -6.00      9.00      1.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     64.00
             w5      6.00    -10.00     -8.00      5.00      9.00      4.00      8.00      2.00     -2.00      9.00      5.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     67.00
             w6      7.00     -2.00    -10.00      9.00      3.00      5.00      8.00      6.00     -6.00      4.00      6.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     35.00
             w7      8.00     -7.00     -4.00      0.00      5.00      7.00      0.00      5.00     -5.00      4.00      4.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     42.00
             w8      4.00     -0.00     -3.00      3.00      1.00      6.00      6.00      2.00     -2.00      6.00      7.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     22.00
             w9      2.00    -10.00     -6.00      6.00      4.00      4.00      4.00      9.00     -9.00      3.00     10.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      1.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00     74.00
